epoch,accuracy,loss,val_accuracy,val_loss
0,0.9402499794960022,0.20158594846725464,0.9703999757766724,0.10229916870594025
1,0.9740999937057495,0.0898311510682106,0.9699000120162964,0.10848427563905716
2,0.9815833568572998,0.06580055505037308,0.9753999710083008,0.09327248483896255
3,0.9861000180244446,0.05027800798416138,0.9785000085830688,0.07882845401763916
4,0.9889833331108093,0.0421115942299366,0.98089998960495,0.07540231943130493
5,0.9914166927337646,0.033592257648706436,0.9807000160217285,0.08563151210546494
6,0.9927499890327454,0.027697041630744934,0.980400025844574,0.09252192080020905
7,0.9941666722297668,0.022550148889422417,0.9814000129699707,0.0970984399318695
8,0.9947500228881836,0.01987685263156891,0.9786999821662903,0.1151825413107872
9,0.9958000183105469,0.01566057838499546,0.9817000031471252,0.09969263523817062
